                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.1174,                 1.5914,                 0.8706,                 1.1017,                0.67581,                0.78428,                0.75641,                0.56915,                0.67003,                0.77686,                0.74527,                0.49403,                 1.1949,                0.98397,                 0.9291,                 1.1672,               0.006832,               0.006832,               0.006832
                     50,                 1.1014,                 1.5291,                0.86168,                 1.0888,                0.72196,                0.74815,                0.77564,                0.58003,                0.70955,                0.73704,                0.76198,                0.49456,                 1.1741,                0.97763,                 0.8652,                 1.1327,               0.006766,               0.006766,               0.006766
                     51,                 1.1019,                 1.5137,                0.86293,                 1.0927,                0.69206,                0.72322,                 0.7179,                0.53177,                0.67753,                0.72332,                0.70485,                0.44177,                 1.1753,                 1.0485,                0.86017,                  1.131,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.0972,                 1.5167,                0.85096,                 1.0882,                0.78165,                0.70713,                0.76446,                0.55921,                0.76956,                0.69882,                0.74962,                0.47937,                 1.2104,                 1.0336,                0.90772,                 1.1622,               0.006634,               0.006634,               0.006634
                     53,                 1.1064,                 1.5471,                0.86338,                 1.0966,                0.72533,                0.72312,                0.74003,                0.54793,                0.71959,                0.71684,                0.73263,                0.48402,                 1.1723,                0.99482,                0.87588,                 1.1211,               0.006568,               0.006568,               0.006568
                     54,                 1.1018,                 1.5137,                0.85238,                 1.0923,                0.66378,                0.72856,                0.72853,                0.52584,                0.65289,                0.71803,                0.71006,                0.44868,                 1.2025,                0.98668,                0.93346,                 1.1725,               0.006502,               0.006502,               0.006502
                     55,                 1.1024,                  1.517,                0.85593,                 1.0858,                0.72101,                0.75993,                0.76714,                0.56155,                0.70203,                0.75349,                  0.754,                0.48487,                 1.2007,                 1.0126,                0.89392,                 1.1375,               0.006436,               0.006436,               0.006436
                     56,                 1.0905,                 1.4969,                0.82795,                 1.0892,                0.71697,                 0.7362,                0.76629,                0.57581,                0.65532,                0.80981,                0.75309,                0.51176,                  1.175,                  1.006,                0.87806,                 1.1245,                0.00637,                0.00637,                0.00637
                     57,                 1.0819,                  1.515,                0.83846,                 1.0867,                0.71886,                0.77635,                0.78094,                0.59922,                 0.7055,                0.76109,                0.76506,                0.52831,                 1.1239,                0.98014,                 0.8326,                 1.0886,               0.006304,               0.006304,               0.006304
                     58,                 1.0824,                 1.5046,                0.82734,                 1.0813,                0.71665,                0.77887,                 0.7696,                0.58254,                 0.7209,                0.76113,                0.75872,                0.51188,                 1.1686,                0.98223,                0.84549,                 1.1279,               0.006238,               0.006238,               0.006238
